Title,Year,Publisher,Genre,Platform,Metascore,Avg_Userscore,No_Players
Hex: Shards of Fate,2016.0,"CryptozoicEntertainment,HexEntertainment",Miscellaneous;Card Battle;Strategy;Turn-Based;Card Battle,PC,87.0,6.4,Online Multiplayer
World of Warcraft: Warlords of Draenor,2014.0,BlizzardEntertainment,Role-Playing;Massively Multiplayer Online;Massively Multiplayer;Fantasy,PC,87.0,6.0,Massively Multiplayer
Fallout 4,2015.0,BethesdaGameStudios,General;Role-Playing;Western-Style,PlayStation4,87.0,6.6,No Online Multiplayer
Forza Horizon 3,2016.0,PlaygroundGames,Racing;Simulation;Automobile,PC,86.0,6.8,not specified
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015.0,TelltaleGames,Adventure;General,PC,86.0,8.7,not specified
Thumper,2017.0,"droolGames,Drool",Action;Rhythm;Music,XboxOne,86.0,5.1,not specified
The Witness,2016.0,"Thekla,Inc",Adventure;3D;First-Person,XboxOne,86.0,6.9,not specified
Gone Home,2013.0,TheFullbrightCompany,Sci-Fi;Sci-Fi;Adventure;3D;First-Person,PC,86.0,5.4,No Online Multiplayer
Pac-Man Championship Edition DX +,2013.0,NamcoBandaiGames,Action;General;General;Arcade,PC,86.0,7.5,not specified
Uncharted: The Nathan Drake Collection,2015.0,BluepointGames,Miscellaneous;Action Adventure;General;Compilation,PlayStation4,86.0,8.6,not specified
Tales from the Borderlands: A Telltale Game Series,2015.0,TelltaleGames,Adventure;General,PlayStation4,86.0,8.2,not specified
Total War: Shogun 2 - Fall of the Samurai,2012.0,CreativeAssembly,Strategy;Turn-Based;Historic;General;Historic,PC,86.0,8.5,not specified
Final Fantasy XIV: Heavensward,2015.0,SquareEnix,Massively Multiplayer Online;Fantasy;Role-Playing;Massively Multiplayer,PC,86.0,7.7,not specified
Football Manager 2013,2012.0,SportsInteractive,Sports;Traditional;Team;Soccer;Management;Management,PC,86.0,6.8,not specified
Out of the Park Baseball 14,2013.0,OutOfTheParkDevelopments,Sports;Traditional;Baseball;Management;Management,PC,86.0,8.3,1 Player
DiRT Rally,2016.0,Codemasters,Racing;Simulation;Automobile,XboxOne,86.0,8.0,not specified
F1 2017,2017.0,Codemasters,Racing;Simulation;Automobile,PlayStation4,86.0,7.8,Up to 20 
Astebreed,2014.0,Edelweiss,Action;Shooter;Scrolling;Shoot-'Em-Up;Vertical;Horizontal,PC,86.0,7.3,No Online Multiplayer
Cuphead,2017.0,StudioMDHR,Action;Platformer;2D,XboxOne,86.0,8.5,No Online Multiplayer
