Title,Year,Platform,Metascore,Avg_Userscore
Frozen Synapse Prime,2014.0,PlayStationVita,84.0,7.2
Thumper,2016.0,PlayStation4,84.0,7.2
Axiom Verge,2015.0,PlayStation4,84.0,7.9
Dishonored: Death of the Outsider,2017.0,XboxOne,84.0,7.1
Enter The Gungeon,2017.0,XboxOne,84.0,7.9
The Banner Saga 2,2016.0,XboxOne,84.0,8.0
Europa Universalis IV: Wealth of Nations,2014.0,PC,84.0,8.8
Mass Effect 3: Citadel,2013.0,PC,84.0,8.0
Nex Machina: Death Machine,2017.0,PC,84.0,6.7
Polybius,2017.0,PlayStation4,84.0,7.3
Uncharted: The Lost Legacy,2017.0,PlayStation4,84.0,8.1
Assassin's Creed IV: Black Flag,2013.0,PC,84.0,7.7
Hyper Light Drifter,2016.0,PC,84.0,8.3
Enter the Gungeon,2016.0,PC,84.0,7.7
Detention,2017.0,PlayStation4,84.0,6.6
Hitman - Episode 2: Sapienza,2016.0,PC,84.0,5.9
ZEN Pinball 2: Aliens Vs. Pinball,2016.0,PlayStation4,84.0,5.9
Child of Light,2014.0,WiiU,84.0,8.5
Hatsune Miku: Project Diva Future Tone - Colorful Tone,2017.0,PlayStation4,84.0,7.7
Hatsune Miku: Project Diva Future Tone - Future Sound,2017.0,PlayStation4,84.0,7.6
Final Fantasy IX,2016.0,PC,84.0,8.5
FRU,2016.0,XboxOne,84.0,6.8
FTL: Faster Than Light,2012.0,PC,84.0,8.4
Xenoblade Chronicles X,2015.0,WiiU,84.0,8.9
Resogun,2013.0,PlayStation4,84.0,7.8
SOMA,2015.0,PC,84.0,8.4
Thimbleweed Park,2017.0,XboxOne,84.0,7.0
Metro Redux,2014.0,XboxOne,84.0,8.2
NieR: Automata,2017.0,PC,84.0,8.4
Nioh: Complete Edition,2017.0,PC,84.0,6.7
ICEY,2016.0,PC,84.0,7.4
Grim Fandango Remastered,2015.0,PC,84.0,8.1
Mutant Mudds Deluxe,2013.0,WiiU,84.0,7.3
Thimbleweed Park,2017.0,PC,84.0,8.1
Assault Android Cactus,2017.0,XboxOne,84.0,8.0
Fallout 4,2015.0,PC,84.0,5.5
Lara Croft GO,2016.0,PlayStation4,84.0,5.5
Oddworld: Abe's Oddysee - New 'n' Tasty,2014.0,PlayStation4,84.0,7.8
Madden NFL 16,2015.0,XboxOne,84.0,6.0
Minecraft: PlayStation Vita Edition,2014.0,PlayStationVita,84.0,7.7
Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien,2013.0,WiiU,84.0,8.1
New Super Mario Bros. U,2012.0,WiiU,84.0,8.1
FIFA 17,2016.0,PC,84.0,4.1
PixelJunk Monsters: Ultimate HD,2013.0,PlayStationVita,84.0,7.6
Zero Escape: Virtue's Last Reward,2012.0,PlayStationVita,84.0,8.8
Hitman - Episode 2: Sapienza,2016.0,PlayStation4,84.0,7.0
Project CARS 2,2017.0,PC,84.0,6.9
BioShock: The Collection,2016.0,PlayStation4,84.0,8.6
The Wolf Among Us: Episode 5 - Cry Wolf,2014.0,PC,84.0,8.8
The End Is Nigh,2017.0,PC,84.0,7.7
Hitman,2016.0,PlayStation4,84.0,8.0
SpeedRunners,2016.0,PC,84.0,8.0
FIFA 16,2015.0,XboxOne,84.0,4.4
FIFA 18,2017.0,PlayStation4,84.0,3.3
Assassin's Creed Origins,2017.0,PC,84.0,6.7
